,out_N,out_C,out_S,I_predict,out_N_simple,out_C_simple,out_S_simple
80,-0.17430484,-0.7673661,-0.6241238,1.0779603,-0.18827915,-0.86667746,-0.63406134
81,-0.17415667,-0.76686287,-0.6247185,2.3792467,-0.18978365,-0.8673979,-0.63520825
82,-0.17400168,-0.7663489,-0.62532544,2.9817202,-0.19123454,-0.86797786,-0.63625395
83,-0.17384018,-0.7658242,-0.6259441,2.6982658,-0.19263244,-0.8684213,-0.63720155
84,-0.17367256,-0.7652891,-0.6265746,2.254929,-0.19397797,-0.8687323,-0.6380546
85,-0.17349909,-0.7647435,-0.62721664,2.291654,-0.19527169,-0.868915,-0.6388162
86,-0.17332014,-0.76418775,-0.62787,2.5636141,-0.19651422,-0.8689733,-0.6394899
87,-0.17313607,-0.76362187,-0.62853456,2.2990632,-0.1977061,-0.8689116,-0.64007926
88,-0.17294715,-0.76304585,-0.6292102,1.2685801,-0.19884801,-0.8687339,-0.6405873
89,-0.17275381,-0.76246005,-0.6298964,0.24869615,-0.19994049,-0.86844426,-0.641018
90,-0.1725563,-0.7618646,-0.6305931,0.26031113,-0.20098408,-0.86804694,-0.64137435
91,-0.17235497,-0.76125944,-0.6313003,1.422691,-0.20197937,-0.86754626,-0.6416604
92,-0.17215022,-0.7606447,-0.63201785,2.7621846,-0.20292702,-0.8669457,-0.64187926
93,-0.17194238,-0.7600208,-0.6327451,3.233984,-0.20382749,-0.8662501,-0.64203453
94,-0.17173173,-0.75938773,-0.63348234,2.8013232,-0.20468143,-0.8654632,-0.64212984
95,-0.17151865,-0.75874525,-0.6342292,2.3389862,-0.2054894,-0.8645891,-0.6421686
96,-0.17130347,-0.75809395,-0.63498557,2.502385,-0.20625192,-0.86363184,-0.6421543
97,-0.1710865,-0.7574338,-0.63575125,2.9204156,-0.2069696,-0.8625953,-0.64209044
98,-0.1708681,-0.756765,-0.63652587,2.681345,-0.20764302,-0.86148375,-0.6419808
99,-0.17064857,-0.7560874,-0.6373094,1.5316312,-0.20827273,-0.86030096,-0.6418286
100,-0.17042825,-0.7554014,-0.63810164,0.3360565,-0.20885928,-0.8590507,-0.64163727
101,-0.17020741,-0.7547069,-0.6389024,0.2046929,-0.2094033,-0.8577369,-0.6414103
102,-0.16998643,-0.7540045,-0.6397117,1.2735257,-0.20990533,-0.85636336,-0.6411509
103,-0.16976552,-0.7532936,-0.64052916,2.5518808,-0.21036592,-0.8549335,-0.64086264
104,-0.16954498,-0.75257486,-0.6413546,3.0077097,-0.21078564,-0.8534514,-0.64054877
105,-0.16932519,-0.7518482,-0.64218783,2.6232767,-0.21116516,-0.8519202,-0.6402125
106,-0.16910636,-0.7511137,-0.6430286,2.2222424,-0.21150495,-0.8503437,-0.6398571
107,-0.16888876,-0.75037175,-0.6438771,2.3479598,-0.21180561,-0.84872484,-0.6394857
108,-0.1686727,-0.74962217,-0.6447329,2.5873344,-0.2120678,-0.8470675,-0.63910145
109,-0.16845837,-0.74886495,-0.6455959,2.159351,-0.21229202,-0.8453747,-0.6387073
110,-0.16824603,-0.7481006,-0.6464658,1.0280708,-0.21247892,-0.8436494,-0.63830626
111,-0.16803595,-0.7473289,-0.64734256,0.14078572,-0.21262902,-0.8418945,-0.6379011
112,-0.16782835,-0.7465503,-0.648226,0.43444395,-0.212743,-0.84011364,-0.63749486
113,-0.16762337,-0.7457648,-0.6491158,1.7523487,-0.2128214,-0.838309,-0.63709027
114,-0.16742128,-0.7449722,-0.6500121,2.9632647,-0.21286483,-0.8364835,-0.63669
115,-0.16722228,-0.7441729,-0.6509145,3.1747236,-0.21287395,-0.83463985,-0.6362967
116,-0.16702652,-0.7433668,-0.65182287,2.63904,-0.21284932,-0.83278066,-0.6359126
117,-0.16683413,-0.7425544,-0.65273714,2.3120487,-0.21279158,-0.830908,-0.63554037
118,-0.16664533,-0.7417354,-0.65365714,2.6233158,-0.2127013,-0.8290245,-0.6351824
119,-0.16646022,-0.7409101,-0.65458274,2.9499307,-0.2125792,-0.8271321,-0.6348407
120,-0.166279,-0.74007857,-0.6555135,2.4320092,-0.21242583,-0.82523304,-0.6345176
121,-0.16610175,-0.7392409,-0.6564497,1.1402584,-0.21224183,-0.8233291,-0.634215
122,-0.16592857,-0.7383973,-0.6573909,0.15845937,-0.21202786,-0.82142246,-0.63393503
123,-0.16575953,-0.73754776,-0.6583372,0.42929816,-0.21178456,-0.81951445,-0.6336793
